Date_reported,ind_cum_cases,usa_cum_cases,brazil_cum_cases,russia_cum_cases,ind_new_cases,usa_new_cases,china_new_cases,russia_new_cases,brazil_new_cases
2020-01-03,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,1,0,0
2020-01-05,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,3,0,0
2020-01-07,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,41,0,0
2020-01-13,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,4,0,0
2020-01-18,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,76,0,0
2020-01-20,0,1,0,0,0,1,77,0,0
2020-01-21,0,1,0,0,0,0,93,0,0
2020-01-22,0,1,0,0,0,0,147,0,0
2020-01-23,0,1,0,0,0,0,132,0,0
2020-01-24,0,1,0,0,0,0,261,0,0
2020-01-25,0,1,0,0,0,0,462,0,0
2020-01-26,0,2,0,0,0,1,688,0,0
2020-01-27,0,2,0,0,0,0,776,0,0
2020-01-28,0,3,0,0,0,1,1772,0,0
2020-01-29,0,3,0,0,0,0,1464,0,0
2020-01-30,1,3,0,0,1,0,1739,0,0
2020-01-31,5,3,0,2,4,0,1984,2,0
2020-02-01,5,3,0,2,0,0,2101,0,0
2020-02-02,2,4,0,2,-3,1,2590,0,0
2020-02-03,3,5,0,2,1,1,2827,0,0
2020-02-04,7,8,0,2,4,3,3233,0,0
2020-02-05,7,11,0,2,0,3,3892,0,0
2020-02-06,7,11,0,2,0,0,3697,0,0
2020-02-07,7,11,0,2,0,0,3151,0,0
2020-02-08,7,11,0,2,0,0,3387,0,0
2020-02-09,7,12,0,2,0,1,2653,0,0
2020-02-10,7,12,0,2,0,0,2984,0,0
2020-02-11,7,12,0,2,0,0,2473,0,0
2020-02-12,7,12,0,2,0,0,2022,0,0
2020-02-13,7,12,0,2,0,0,15152,0,0
2020-02-14,7,13,0,2,0,1,4050,0,0
2020-02-15,7,14,0,2,0,1,2644,0,0
2020-02-16,7,14,0,2,0,0,2008,0,0
2020-02-17,7,14,0,2,0,0,2051,0,0
2020-02-18,7,14,0,2,0,0,1893,0,0
2020-02-19,7,16,0,2,0,2,1750,0,0
2020-02-20,7,21,0,2,0,5,397,0,0
2020-02-21,7,24,0,2,0,3,893,0,0
2020-02-22,7,25,0,2,0,1,825,0,0
2020-02-23,7,30,0,2,0,5,649,0,0
2020-02-24,7,36,0,2,0,6,220,0,0
2020-02-25,7,36,0,2,0,0,517,0,0
2020-02-26,7,40,5,2,0,4,411,0,5
2020-02-27,7,44,5,2,0,4,440,0,0
2020-02-28,7,52,5,2,0,8,329,0,0
2020-02-29,7,57,5,2,0,5,430,0,0
2020-03-01,7,61,6,2,0,4,579,0,1
2020-03-02,5,70,6,2,-2,9,206,0,0
2020-03-03,9,88,6,3,4,18,128,1,0
2020-03-04,28,124,7,3,19,36,120,0,1
2020-03-05,29,188,11,3,1,64,143,0,4
2020-03-06,31,255,12,4,2,67,145,1,1
2020-03-07,34,333,17,4,3,78,103,0,5
2020-03-08,39,454,23,7,5,121,46,3,6
2020-03-09,44,614,29,7,5,160,45,0,6
2020-03-10,50,825,29,7,6,211,20,0,0
2020-03-11,60,1240,38,7,10,415,31,0,9
2020-03-12,73,1736,56,20,13,496,25,13,18
2020-03-13,81,2250,81,34,8,514,11,14,25
2020-03-14,84,2998,125,34,3,748,30,0,44
2020-03-15,107,3912,125,34,23,914,27,0,0
2020-03-16,114,5154,204,34,7,1242,29,0,79
2020-03-17,137,7332,238,93,23,2178,40,59,34
2020-03-18,151,9664,295,93,14,2332,34,0,57
2020-03-19,173,12878,428,147,22,3214,86,54,133
2020-03-20,223,17783,621,199,50,4905,63,52,193
2020-03-21,283,23933,904,253,60,6150,116,54,283
2020-03-22,360,31407,904,306,77,7474,82,53,0
2020-03-23,434,40625,904,438,74,9218,103,132,0
2020-03-24,519,51424,1546,495,85,10799,146,57,642
2020-03-25,606,62194,2201,658,87,10770,101,163,655
2020-03-26,649,73545,2433,840,43,11351,113,182,232
2020-03-27,724,87540,2433,1036,75,13995,117,196,0
2020-03-28,909,106265,2915,1264,185,18725,135,228,482
2020-03-29,979,126485,3417,1534,70,20220,128,270,502
2020-03-30,1071,147106,3904,1837,92,20621,106,303,487
2020-03-31,1251,173403,4256,2337,180,26297,98,500,352
2020-04-01,1637,188950,4579,2777,386,15547,86,440,323
2020-04-02,1965,212463,5717,2777,328,23513,93,0,1138
2020-04-03,2301,240795,6836,3548,336,28332,78,771,1119
2020-04-04,2902,270739,7910,4149,601,29944,73,601,1074
2020-04-05,3374,302545,9056,4731,472,31806,55,582,1146
2020-04-06,4067,335010,10278,5389,693,32465,75,658,1222
2020-04-07,4421,362032,11130,6343,354,27022,67,954,852
2020-04-08,5274,390697,12056,7497,853,28665,85,1154,926
2020-04-09,5865,420035,13717,10131,591,29338,92,2634,1661
2020-04-10,6412,454142,15927,11917,547,34107,56,1786,2210
2020-04-11,7447,488938,17857,13584,1035,34796,64,1667,1930
2020-04-12,8356,521630,19638,15770,909,32692,113,2186,1781
2020-04-13,9152,553812,20727,18328,796,32182,115,2558,1089
2020-04-14,10363,580900,22169,21102,1211,27088,99,2774,1442
2020-04-15,11439,605984,23430,24490,1076,25084,49,3388,1261
2020-04-16,12380,631124,25262,27938,941,25140,52,3448,1832
2020-04-17,13387,656271,28320,32008,1007,25147,27,4070,3058
2020-04-18,14378,687997,30425,36793,991,31726,356,4785,2105
2020-04-19,15712,718527,33682,42853,1334,30530,21,6060,3257
2020-04-20,17265,746116,36599,47121,1553,27589,36,4268,2917
2020-04-21,18601,773145,38654,52763,1336,27029,13,5642,2055
2020-04-22,19984,799279,40581,57999,1383,26134,37,5236,1927
2020-04-23,21393,824650,43079,62773,1409,25371,15,4774,2498
2020-04-24,23077,855684,45757,68622,1684,31034,9,5849,2678
2020-04-25,24506,888727,49492,74588,1429,33043,13,5966,3735
2020-04-26,26496,923708,52995,80949,1990,34981,14,6361,3503
2020-04-27,27892,957077,58509,87147,1396,33369,3,6198,5514
2020-04-28,29435,983401,61888,93558,1543,26324,6,6411,3379
2020-04-29,31332,1007873,66501,99399,1897,24472,22,5841,4613
2020-04-30,33050,1031239,71886,106498,1718,23366,4,7099,5385
2020-05-01,35043,1058269,78162,114431,1993,27030,12,7933,6276
2020-05-02,37336,1089833,85380,124054,2293,31564,3,9623,7218
2020-05-03,39980,1121780,91589,134687,2644,31947,5,10633,6209
2020-05-04,42533,1150172,96559,145268,2553,28392,7,10581,4970
2020-05-05,46433,1177059,101147,155370,3900,26887,4,10102,4588
2020-05-06,49391,1198460,107780,165929,2958,21401,2,10559,6633
2020-05-07,52952,1221317,114715,177160,3561,22857,3,11231,6935
2020-05-08,56342,1246632,125218,187859,3390,25315,6,10699,10503
2020-05-09,59662,1276126,135106,198676,3320,29494,1,10817,9888
2020-05-10,62939,1304208,145328,209688,3277,28082,14,11012,10222
2020-05-11,67152,1330179,155939,221344,4213,25971,20,11656,10611
2020-05-12,70756,1352099,162699,232243,3604,21920,1,10899,6760
2020-05-13,74281,1371470,168331,242271,3525,19371,7,10028,5632
2020-05-14,78003,1395653,177589,252245,3722,24183,6,9974,9258
2020-05-15,81970,1413045,188974,262843,3967,17392,5,10598,11385
2020-05-16,85940,1447484,202918,272043,3970,34439,9,9200,13944
2020-05-17,90927,1474686,218223,281752,4987,27202,6,9709,15305
2020-05-18,96169,1500133,233142,290678,5242,25447,10,8926,14919
2020-05-19,101139,1520186,241080,299941,4970,20053,6,9263,7938
2020-05-20,106750,1543086,254220,308705,5611,22900,5,8764,13140
2020-05-21,112359,1564765,271628,317554,5609,21679,2,8849,17408
2020-05-22,118447,1588767,291579,326448,6088,24002,13,8894,19951
2020-05-23,125101,1614593,310087,335882,6654,25826,2,9434,18508
2020-05-24,131868,1640419,330890,344481,6767,25826,3,8599,20803
2020-05-25,138845,1661636,347398,353427,6977,21217,11,8946,16508
2020-05-26,145380,1683379,363211,362342,6535,21743,7,8915,15813
2020-05-27,151767,1702821,374898,370680,6387,19442,1,8338,11687
2020-05-28,158333,1719564,391222,379051,6566,16743,3,8371,16324
2020-05-29,165799,1739354,411821,387623,7466,19790,0,8572,20599
2020-05-30,173763,1763544,438238,396575,7964,24190,18,8952,26417
2020-05-31,182143,1787330,465166,405843,8380,23786,5,9268,26928
2020-06-01,190535,1811303,498440,414878,8392,23973,18,9035,33274
